city,playlist_title,team_key,team_name,league,mascot,game_city
Dallas,Dallas: The Game Bureau,NFL:DAL,Dallas Cowboys,NFL,Cowboys,"Dallas, TX"
Dallas,Dallas: The Game Bureau,NHL:DAL,Dallas Stars,NHL,Stars,"Dallas, TX"
Dallas,Dallas: The Game Bureau,MLB:TEX,Texas Rangers,MLB,Rangers,"Dallas, TX"
Dallas,Dallas: The Game Bureau,NBA:DAL,Dallas Mavericks,NBA,Mavericks,"Dallas, TX"
New Orleans,New Orleans: The Game Bureau,NFL:NO,New Orleans Saints,NFL,Saints,"New Orleans, LA"
New Orleans,New Orleans: The Game Bureau,NBA:NO,New Orleans Pelicans,NBA,Pelicans,"New Orleans, LA"
Pittsburgh,Pittsburgh: The Game Bureau,NFL:PIT,Pittsburgh Steelers,NFL,Steelers,"Pittsburgh, PA"
Pittsburgh,Pittsburgh: The Game Bureau,MLB:PIT,Pittsburgh Pirates,MLB,Pirates,"Pittsburgh, PA"
Pittsburgh,Pittsburgh: The Game Bureau,NHL:PIT,Pittsburgh Penguins,NHL,Penguins,"Pittsburgh, PA"
